Latitude,Longitude,Charger Type,Chargers,Density,Speed,Total Distance,Travel Time,Congestion,Score
10.777578,106.69688,AC_11KW,4,3.63,31.07,3.82,7.38,12.26,6.44
10.780682,106.697395,AC_11KW,4,3.89,32.77,5.18,9.49,12.78,8.1
